DATEPRD,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,onstreaminject_HRS,BORE_WI_VOL
01-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-09-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-10-2007,7078,15/9-F-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
