DATEPRD,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,onstreaminject_HRS,BORE_WI_VOL
12-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,0.059,0,0,0,0,0
13-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0
14-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
15-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,0.066,0,0,0,0,0
16-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,0.105,0,0,0,0,0
17-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0
18-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,0.234,0,0,0,0,0
19-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,0.567,0,0,0,0,0
20-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,0.614,0,0,0,0,0
21-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0
22-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,0.994,0,0,0,0,0
23-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,1.395,0,0,0,0,0
24-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,1.907,0,0,0,0,0
25-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,2.884,0,0,0,0,0
26-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,3.805,0,0,0,0,0
27-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,4.606,0,0,0,0,0
28-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,5.447,0,0,0,0,0
29-Feb-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,6.364,0,0,0,0,0
01-Mar-08,5351,15/9-F-14,0,0,0,0,0.001,0,0,0,7.275,0,0,0,0,0
02-Mar-08,5351,15/9-F-14,0,0,0,0,0.001,0,0,0,8.118,0,0,0,0,0
03-Mar-08,5351,15/9-F-14,0,0,0,0,0.004,0,0,0.003,8.949,0,0,0,0,0
04-Mar-08,5351,15/9-F-14,0,0,0,0,0.006,0,0,0.006,9.721,0,0,0,0,0
05-Mar-08,5351,15/9-F-14,0,0,0,0,0.004,0,0,0,10.784,0,0,0,0,0
06-Mar-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,11.911,0,0,0,0,0
07-Mar-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,12.875,0,0,0,0,0
08-Mar-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,13.912,0,0,0,0,0
09-Mar-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,14.996,0,0,0,0,0
10-Mar-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,15.854,0,0,0,0,0
11-Mar-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,16.275,0,0,0,0,0
12-Mar-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,16.493,0,0,0,0,0
13-Mar-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,17.866,0,0,0,0,0
14-Mar-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,25.396,0,0,0,0,0
15-Mar-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,31.419,0,0,0,0,0
16-Mar-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,31.159,0,0,0,0,0
17-Mar-08,5351,15/9-F-14,0,0,0,0,0.002,0,0,0.001,30.957,0,0,0,0,0
18-Mar-08,5351,15/9-F-14,0,0,0,0,0.002,0,0,0.001,30.901,0,0,0,0,0
19-Mar-08,5351,15/9-F-14,0,0,0,0,0.001,0,0,0,30.564,0,0,0,0,0
20-Mar-08,5351,15/9-F-14,0,0,0,0,0.001,0,0,0,30.316,0,0,0,0,0
21-Mar-08,5351,15/9-F-14,0,0,0,0,0.001,0,0,0.001,30.229,0,0,0,0,0
22-Mar-08,5351,15/9-F-14,0,0,0,0,0.003,0,0,0.002,30.395,0,0,0,0,0
23-Mar-08,5351,15/9-F-14,0,0,0,0,0.007,0,0,0.007,30.501,0,0,0,0,0
24-Mar-08,5351,15/9-F-14,0,0,0,0,0.01,0,0,0.009,30.51,0,0,0,0,0
25-Mar-08,5351,15/9-F-14,0,0,0,0,0.007,0,0,0.008,30.581,0,0,0,0,0
26-Mar-08,5351,15/9-F-14,0,0,0,0,0.002,0,0,0.002,17.857,0,0,0,0,0
27-Mar-08,5351,15/9-F-14,0,0,0,0,0.004,0,0,0.003,1.484,0,0,0,0,0
28-Mar-08,5351,15/9-F-14,0,0,0,0,0.002,0,0,0.001,1.137,0,0,0,0,0
29-Mar-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,26.06,0,0,0,0,0
30-Mar-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,21.266,0,0,0,0,0
31-Mar-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0
01-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,30.421,0,0,0,0,0
02-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,30.706,0,0,0,0,0
03-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,30.683,0,0,0,0,0
04-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,30.71,0,0,0,0,0
05-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,30.816,0,0,0,0,0
06-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,31.579,0,0,0,0,0
07-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,31.378,0,0,0,0,0
08-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,31.394,0,0,0,0,0
09-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,31.075,0,0,0,0,0
10-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,31.262,0,0,0,0,0
11-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,31.233,0,0,0,0,0
12-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,17.796,0,0,0,0,0
13-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,2.292,0,0,0,0,0
14-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,11.35,0,0,0,0,0
15-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,28.723,0,0,0,0,0
16-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,31.106,0,0,0,0,0
17-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,25.25,0,0,0,0,0
18-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,30.034,0,0,0,0,0
19-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,27.274,0,0,0,0,0
20-Apr-08,5351,15/9-F-14,0,0,0,0,0,0,0,0,31.158,0,0,0,0,0
